Airbnb Listing ID,price,latitude,longitude,Meters from chosen location,Location,cluster,centroids,price_currency,size,color,segment
33087684,3033.5400390625,52.34806060791016,4.906579971313477,2227.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33089192,3033.5400390625,52.363330841064446,4.8424201011657715,3407.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33129140,4044.7299804687505,52.377479553222656,4.863399982452393,2339.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
33160030,3640.25,52.334331512451165,4.848340034484863,4630.0,Airbnb listing,0,0,MX 3640.25,5.0,#061b2c,Budget
33180772,3943.610107421875,52.36368942260742,4.879509925842285,915.0,Airbnb listing,0,0,MX 3943.61,5.0,#061b2c,Budget
33180808,4469.419921875,52.36518096923828,4.855939865112305,2477.0,Airbnb listing,0,0,MX 4469.42,5.0,#061b2c,Budget
33184440,3943.610107421875,52.35430908203125,4.998410224914551,7318.0,Airbnb listing,0,0,MX 3943.61,5.0,#061b2c,Budget
33259236,14136.3203125,52.34244155883789,4.856560230255127,3584.0,Airbnb listing,2,0,MX 14136.32,6.0,#057ab1,Premium
33265952,2831.31005859375,52.353900909423835,4.921370029449463,2391.0,Airbnb listing,1,0,MX 2831.31,5.0,#024c6f,Mid-range
33280916,3943.610107421875,52.36466979980469,4.910099983215332,1213.0,Airbnb listing,0,0,MX 3943.61,5.0,#061b2c,Budget
33304570,2629.070068359375,52.36199188232422,4.869810104370117,1600.0,Airbnb listing,1,0,MX 2629.07,5.0,#024c6f,Mid-range
33305600,4449.2001953125,52.37047958374024,4.8944997787475595,506.0,Airbnb listing,0,0,MX 4449.2,5.0,#061b2c,Budget
33312804,3013.320068359375,52.39366149902344,4.916190147399902,3463.0,Airbnb listing,1,0,MX 3013.32,5.0,#024c6f,Mid-range
33326302,2811.080078125,52.36445999145508,4.859720230102539,2226.0,Airbnb listing,1,0,MX 2811.08,5.0,#024c6f,Mid-range
33357704,2608.85009765625,52.341270446777344,4.915080070495605,3163.0,Airbnb listing,1,0,MX 2608.85,5.0,#024c6f,Mid-range
33359292,2831.31005859375,52.37059020996094,4.8503098487854,2900.0,Airbnb listing,1,0,MX 2831.31,5.0,#024c6f,Mid-range
33359532,5965.97021484375,52.39056015014648,4.887189865112305,2741.0,Airbnb listing,0,0,MX 5965.97,6.0,#061b2c,Budget
33361464,5824.41015625,52.39056015014648,4.887189865112305,2741.0,Airbnb listing,0,0,MX 5824.41,6.0,#061b2c,Budget
33365000,7078.27001953125,52.36188125610352,4.896289825439453,540.0,Airbnb listing,3,0,MX 7078.27,6.0,#3abdf3,Elite
33412852,3518.909912109375,52.387859344482415,4.886040210723877,2456.0,Airbnb listing,0,0,MX 3518.91,5.0,#061b2c,Budget
33412976,3943.610107421875,52.38615036010742,4.886650085449219,2262.0,Airbnb listing,0,0,MX 3943.61,5.0,#061b2c,Budget
33413160,4166.06982421875,52.38619995117188,4.886590003967285,2268.0,Airbnb listing,0,0,MX 4166.07,5.0,#061b2c,Budget
33413180,4166.06982421875,52.387691497802734,4.886099815368652,2437.0,Airbnb listing,0,0,MX 4166.07,5.0,#061b2c,Budget
33416292,3256.0,52.369850158691406,4.873660087585449,1338.0,Airbnb listing,1,0,MX 3256.0,5.0,#024c6f,Mid-range
33416932,3215.56005859375,52.37129974365234,4.874390125274657,1351.0,Airbnb listing,1,0,MX 3215.56,5.0,#024c6f,Mid-range
33424512,3033.5400390625,52.3732795715332,4.821000099182129,4912.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33426492,5521.0498046875,52.37398147583008,4.908040046691895,1377.0,Airbnb listing,0,0,MX 5521.05,6.0,#061b2c,Budget
33439716,4368.2998046875,52.362258911132805,4.864049911499024,1971.0,Airbnb listing,0,0,MX 4368.3,5.0,#061b2c,Budget
33441780,3761.6000976562495,52.38928985595703,4.937280178070068,3991.0,Airbnb listing,0,0,MX 3761.6,5.0,#061b2c,Budget
33448592,4226.740234375,52.360111236572266,4.888510227203369,717.0,Airbnb listing,0,0,MX 4226.74,5.0,#061b2c,Budget
33503224,3640.25,52.35778045654297,4.796989917755127,6544.0,Airbnb listing,0,0,MX 3640.25,5.0,#061b2c,Budget
33504456,5055.91015625,52.36846160888672,4.86849021911621,1643.0,Airbnb listing,0,0,MX 5055.91,6.0,#061b2c,Budget
33516464,3033.5400390625,52.35633087158203,4.895709991455078,1111.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33539828,2932.429931640625,52.36697006225586,4.865409851074219,1834.0,Airbnb listing,1,0,MX 2932.43,5.0,#024c6f,Mid-range
33553228,2851.530029296875,52.34527969360352,4.9105401039123535,2624.0,Airbnb listing,1,0,MX 2851.53,5.0,#024c6f,Mid-range
33555552,1921.25,52.37477111816406,4.881840229034424,1200.0,Airbnb listing,1,0,MX 1921.25,5.0,#024c6f,Mid-range
33568152,3033.5400390625,52.41511917114258,4.900720119476318,5479.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
